key,source,Translation,context
39C391294EC3776C54466FBD4D93FD29,Rite of the Star,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SetTutorialInteractionPrompt_C_10
InstructionText"
382A475C4D921C6BDDF12986B5B8FE49,Hold {ActionInput} to <BH1>spear</> through Faceless Swarms,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SetTutorialInteractionPrompt_C_10
InteractionToDo"
9C0457DF41FFAC78D8EB3F82D61D9565,Hold {ActionInput} to <BH1>spear</> through Faceless Swarms,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SetTutorialInteractionPrompt_C_11
InteractionToDo"
44CE26BD43F6393FED6044A97DDF958D,Rite of the Star,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SetTutorialInteractionPrompt_C_12
InstructionText"
9D331D9547745FD58EBC04B126740642,Hold {ActionInput} to <BH1>spear through</> the blockage,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SetTutorialInteractionPrompt_C_12
InteractionToDo"
2CC802F34A2D73A9C833AC89C2409AE6,Rite of the Star,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SetTutorialInteractionPrompt_C_13
InstructionText"
74F9F77949935779A35F4686F59A883B,Evade,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SetTutorialInteractionPrompt_C_7
InstructionText"
E298C4BE4CB4DCA54D34E0BA7DE47368,Evade with {ActionInput} twice to <BH1>throw off</> the Faceless Swarm,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SetTutorialInteractionPrompt_C_7
InteractionToDo"
5CB5BCF64A9AD10F05FEAFAB5632B2F2,Evade,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SetTutorialInteractionPrompt_C_8
InstructionText"
2EF9C30A4AA45CDA9F65E2A493F4B88D,Evade with {ActionInput} twice to <BH1>throw off</> the Faceless Swarm,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SetTutorialInteractionPrompt_C_8
InteractionToDo"
DA9664A444F5E9E2C69E309BF0B9A92F,Rite of the Star,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SetTutorialInteractionPrompt_C_9
InstructionText"
BE2D4FAC415139FF1B3A92BB84C16415,Enter ice cave system,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_100
Text"
7ED691514B80EAD85E39A4AC8FB78BCA,Enter ice cave system,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_51
Text"
5C9806B64B6D10F72C5B3BA9C6774DF9,Destroy Faceless Swarm,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_53
Text"
46439B8A4CA291E49983F88BDC70989E,Enter ice cave system,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_54
Text"
403D7C3E4D63C6BA57477596A8B20002,Study the Prophet's life,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_55
Text"
D5EDA1524C16072C624627B70133CA56,Discover the Prophet's secret,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_56
Text"
A656936545171801E890F5BC87CD4234,Study the Prophet's life,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_58
Text"
7337FBFD4C79F6FB3DE56890877668DA,Study the Prophet's life,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_59
Text"
59DBDDB94979DA8AB2308A9001971993,Discover the Prophet's secret,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_60
Text"
B684317D413EC5CD7D732B9C1E06D352,Study the Prophet's life,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_61
Text"
E8D6B3104AA6F280B3A007A4535F46E1,Discover the Prophet's secret,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_62
Text"
50332CA94F4B4D73ACBD218273A65F94,Study the Prophet's life,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_63
Text"
6A532FCB4948095E6CBF27A7233E0D0E,Study the Prophet's life,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_64
Text"
4EB1C93446024F3E0080478498F5F620,Study the Prophet's life,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_65
Text"
113C1A5A46C7C2281D113A9FC8CB1503,Identify ritual location,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_67
Text"
BCD2D01442267B9CDA08A7A9033C79B9,Escape Guilt,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_68
Text"
6916C7D04B85D1F2BB7751A3D2C60A61,Identify ritual location,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_70
Text"
A4562AA44108EFFFF94E1BA646C6D117,Destroy Faceless entities,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_71
Text"
F3D8463E412FBFD7304150A964FA7DAE,Study the Prophet's life,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_72
Text"
043E14324E59C669804AA59474F4EFA6,Exit caves,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_73
Text"
CA0B844A429C9A2E993A82A8D287E283,Destroy Faceless entities,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_75
Text"
C3C0A0914ECBE65425C38E90BC6CB925,Exit caves,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_76
Text"
C6A5A11F48423154F873999E0A9B952C,Identify ritual location,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_78
Text"
214A5BF9422B5D4EC08A5C809ABB9C16,Discover the Prophet's secret,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_83
Text"
3B06936241A89B35291CE68A90DED3D2,Escape Guilt,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_85
Text"
AEDE7E68414843C22803BC8BD38C6821,Shoot Regrowth Seals,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_86
Text"
14C6EE5E468F106CE3D71685914B0F00,Shoot Regrowth Seals,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_87
Text"
6FCCB8DC4F3BB4E0AAFAE293F46E1F04,Spear through fractures,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_88
Text"
C496A1F9416E3CA88BCAB0B3D1F109E0,Shoot Regrowth Seals,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_89
Text"
9413672140D5E3751CE13183B9DA51AB,Spear through fractures,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_90
Text"
6ACB3AFB43A68F7F295D439C6AF08445,Discover the Prophet's secret,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_91
Text"
3C4814B24DECE57CC3A799A0F6A5177B,Learn the Prophet's path,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_93
Text"
F68C15C740958DB8101A4D97F5EB494F,Discover the Prophet's secret,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_94
Text"
A54D2CA74CAEA5D8676B419B08FB5A40,Enter ice cave system,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_95
Text"
2D921ECA4A5418E712E846AB864C44A3,Learn the Prophet's path,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_96
Text"
644C874E4A760630550021965F426FFA,Study the Prophet's life,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_97
Text"
599B8347487B2A16582A04909F2E039F,Destroy Faceless Swarm,,"Mission/LocMIF01_DreamsOfThePast/MT_LocMIF01_Dreams_Of_The_Past.json
Name: MTAction_SubObjective_99
Text"
6498587B411C5A9E83D9C2B5310EF233,This temple… it's been seven years…,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S01_FearOfThePast1.json
Name: DA_CM_13_MIF_S01_FearOfThePast1
Speaker: Nara
DialogueText"
D0ED378F40EE51582F467C94A8597A33,You remember it well?,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S01_FearOfThePast1.json
Name: DA_CM_13_MIF_S01_FearOfThePast1
Speaker: Forsaken
DialogueText"
8E3EA3124DEF17EA24189BA24E874020,I remember my lessons…,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S01_FearOfThePast1.json
Name: DA_CM_13_MIF_S01_FearOfThePast1
Speaker: Nara
DialogueText"
E0AF4CDF4ACBC0E83266CE91B65DB1F4,"… and that the Prophet was different that day… ""distracted.""",,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S01_FearOfThePast1.json
Name: DA_CM_13_MIF_S01_FearOfThePast1
Speaker: Nara
DialogueText"
53CBD9CD4B543B92570B1293C632B93E,How uncharacteristic.,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S01_FearOfThePast1.json
Name: DA_CM_13_MIF_S01_FearOfThePast1
Speaker: Forsaken
DialogueText"
622AB5AF41C6B6A6C82A6AA79442F5D1,"Whatever disturbed him, the past could lead us to him.",,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S01_FearOfThePast1.json
Name: DA_CM_13_MIF_S01_FearOfThePast1
Speaker: Nara
DialogueText"
4F48625B40A027AFF764FE9F4E7B129B,Contact! The Swarm must not get close to us.,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S02_FearOfThePast2.json
Name: DA_CM_13_MIF_S02_FearOfThePast2
Speaker: Forsaken
DialogueText"
8A6A9EA24E16EBFE0C79C39D43033E9B,Copy. Taking them down from a distance.,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S02_FearOfThePast2.json
Name: DA_CM_13_MIF_S02_FearOfThePast2
Speaker: Nara
DialogueText"
BAA46D214D66572B1D7B92846E62F233,Shake them off!,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S02b_FearOfThePast2.json
Name: DA_CM_13_MIF_S02b_FearOfThePast2
Speaker: Forsaken
DialogueText"
820A5F1F4D9CD96D2773A99A6E1C280A,Full evasive maneuvers!,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S02b_FearOfThePast2.json
Name: DA_CM_13_MIF_S02b_FearOfThePast2
Speaker: Nara
DialogueText"
28AD081D4142B394FAA398A472F5FE36,Gone! Finally…,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S02c_FearOfThePast2.json
Name: DA_CM_13_MIF_S02c_FearOfThePast2
Speaker: Forsaken
DialogueText"
0FF6DB7C46019ACE536D68AC7F5E805D,The Faceless are adapting…,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S02c_FearOfThePast2.json
Name: DA_CM_13_MIF_S02c_FearOfThePast2
Speaker: Nara
DialogueText"
9AD8D36149C274D1D491FBA764E282A9,"<IH1>Evolving, as people do… as I do…</>",,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S02c_FearOfThePast2.json
Name: DA_CM_13_MIF_S02c_FearOfThePast2
Speaker: Nara-Int
DialogueText"
903650CA4F4E11CCB30DA69D40B78E0D,It's time to enter.,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S02d_EntranceOpens.json
Name: DA_CM_13_MIF_S02d_EntranceOpens
Speaker: Nara
DialogueText"
8C751D9D44A7994E3D97BFBB68BE774D,"<IH1>The darkness… ""feeds"" on this place… its secrets… and guilt.</>",,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S03_FearOfThePast3.json
Name: DA_CM_13_MIF_S03_FearOfThePast3
Speaker: Nara-Int
DialogueText"
983C69684677AEC0436257B3FD7BA8B2,<IH1>Mine… and the Prophet's.</>,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S03_FearOfThePast3.json
Name: DA_CM_13_MIF_S03_FearOfThePast3
Speaker: Nara-Int
DialogueText"
70F7AA5F47BAD8F47229C49AB04824A9,"Great Prophet, I am ready for my last Rite.",,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S04_TheChosenOne.json
Name: DA_CM_13_MIF_S04_TheChosenOne
Speaker: Nara-Mem
DialogueText"
347EC6E0468D383780FA0BB66E00C207,"Naran, your being has become so pure… in harmony with all, you <I>will</> surpass all Elders.",,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S04_TheChosenOne.json
Name: DA_CM_13_MIF_S04_TheChosenOne
Speaker: Prophet-Mem
DialogueText"
7C4BBEC24096AAC71A6F518B83A76E59,"""Surpass all Elders""… but only he achieved that.",,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S04b_TheChosenOne.json
Name: DA_CM_13_MIF_S04b_TheChosenOne
Speaker: Nara
DialogueText"
8AD71A534F28E5C501DE1181B526420D,Perhaps he recognized your potential.,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S04b_TheChosenOne.json
Name: DA_CM_13_MIF_S04b_TheChosenOne
Speaker: Forsaken
DialogueText"
2AE8AC0441A2561B6E3F1AB966595D14,<IH1>There's more… beyond my Rites?</>,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S04b_TheChosenOne.json
Name: DA_CM_13_MIF_S04b_TheChosenOne
Speaker: Nara-Int
DialogueText"
021E96A64E1764755B99D28D7500CD1E,The gate… it's leading us deeper into the darkness…,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S06_FearOfThePast4.json
Name: DA_CM_13_MIF_S06_FearOfThePast4
Speaker: Nara
DialogueText"
094E0BD64565B41679DB829B95A57E6E,"I ""feel"" the taint of this place, too…",,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S06_FearOfThePast4.json
Name: DA_CM_13_MIF_S06_FearOfThePast4
Speaker: Forsaken
DialogueText"
59E349194AEE2F794A0F11938B012FC4,It didn't follow…,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S07_SearchingForTheProphet1.json
Name: DA_CM_13_MIF_S07_SearchingForTheProphet1
Speaker: Forsaken
DialogueText"
3C8560DA48C91BC40B87E39A8919E69A,But it's not gone…,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S07_SearchingForTheProphet1.json
Name: DA_CM_13_MIF_S07_SearchingForTheProphet1
Speaker: Nara
DialogueText"
DC9D09E5428DB9E5B7C7FD856E28CCEF,<IH1>It never is…</>,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S07_SearchingForTheProphet1.json
Name: DA_CM_13_MIF_S07_SearchingForTheProphet1
Speaker: Nara-Int
DialogueText"
E26268E4482F8AB8D02BF88647D46662,Let the Song of the Void guide you.,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S08_ProphetNextPower.json
Name: DA_CM_13_MIF_S08_ProphetNextPower
Speaker: Prophet-Mem
DialogueText"
E08E79BC49FAD7818B3E72A21D2B16AE,But it's so unstable!,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S08_ProphetNextPower.json
Name: DA_CM_13_MIF_S08_ProphetNextPower
Speaker: Nara-Mem
DialogueText"
1943186D481B6F670F0C59994E59B32B,The wisdom inside you will hold it…,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S08_ProphetNextPower.json
Name: DA_CM_13_MIF_S08_ProphetNextPower
Speaker: Prophet-Mem
DialogueText"
090F1BEA41A8417037CF3582CEDD01EF,The Void's Song… the Prophet sought to attune himself to it!,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S08b_ProphetNextPower.json
Name: DA_CM_13_MIF_S08b_ProphetNextPower
Speaker: Nara
DialogueText"
CE6279F74F6F7A8A37500CAAB3DAB0C1,In Chorus…,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S08b_ProphetNextPower.json
Name: DA_CM_13_MIF_S08b_ProphetNextPower
Speaker: Forsaken
DialogueText"
AB77E7D74873FEB1BE3905BC198EA747,<IH1>He found a way…</>,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S08b_ProphetNextPower.json
Name: DA_CM_13_MIF_S08b_ProphetNextPower
Speaker: Nara-Int
DialogueText"
C57C4B144166A14E562498820E08046C,This galaxy… so broken… in pain!,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S09_ProphetAscension.json
Name: DA_CM_13_MIF_S09_ProphetAscension
Speaker: Prophet-Mem
DialogueText"
E4185A6A4CE960E3879E2A9F3CBB3C6F,And humankind lets it bleed with each new war… uncaring… savage.,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S09_ProphetAscension.json
Name: DA_CM_13_MIF_S09_ProphetAscension
Speaker: Prophet-Mem
DialogueText"
07A0D7F341145AC98C863DA52B156FDF,I believed the Prophet longed for peace.,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S09b_ProphetAscension.json
Name: DA_CM_13_MIF_S09b_ProphetAscension
Speaker: Nara
DialogueText"
ABF419F048B16315044F61A29A8531EF,A worthy goal…,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S09b_ProphetAscension.json
Name: DA_CM_13_MIF_S09b_ProphetAscension
Speaker: Forsaken
DialogueText"
694677B1457ECF388A0704BC6DB8FABC,<IH1>Destroying Nimika… didn't bring peace.</>,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S09b_ProphetAscension.json
Name: DA_CM_13_MIF_S09b_ProphetAscension
Speaker: Nara-Int
DialogueText"
9FF631504D9A719796DC45B7B2964224,My path opens… I remember the Rite Passage at its end.,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S11_PathToPower1.json
Name: DA_CM_13_MIF_S11_PathToPower1
Speaker: Nara
DialogueText"
7BC69C2547A6D33173188285C3589BDD,The Song of the Void will resonate through me… reach this reality… bonding us together… eternally!,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S13_BecomingFaceless1.json
Name: DA_CM_13_MIF_S13_BecomingFaceless1
Speaker: Prophet-Mem
DialogueText"
E6FC87954DCFA1E6E6F961A21CB5BB3D,I already feel it… one more ritual.,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S13_BecomingFaceless1.json
Name: DA_CM_13_MIF_S13_BecomingFaceless1
Speaker: Prophet-Mem
DialogueText"
01B25589418748C384505792D39C4C14,"The Prophet ""attuned"" to the Faceless… in a ritual…",,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S13b_BecomingFaceless2.json
Name: DA_CM_13_MIF_S13b_BecomingFaceless2
Speaker: Nara
DialogueText"
95B585C04465415F5E2B35ABF67D4657,The ritual site must be near.,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S13b_BecomingFaceless2.json
Name: DA_CM_13_MIF_S13b_BecomingFaceless2
Speaker: Forsaken
DialogueText"
31EB16694FFFAC8C7E1AEBB06B57923C,The Guilt found us again.,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S13c_FinalPath1.json
Name: DA_CM_13_MIF_S13c_FinalPath1
Speaker: Forsaken
DialogueText"
8FBED613497B5D58A1C9F2A4FCC7CB18,… but we have a new path. Quick now!,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S13c_FinalPath1.json
Name: DA_CM_13_MIF_S13c_FinalPath1
Speaker: Nara
DialogueText"
2826FF73488CA505A3F7C381B2F11FD5,It stopped following.,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S13d_FinalPath2.json
Name: DA_CM_13_MIF_S13d_FinalPath2
Speaker: Forsaken
DialogueText"
4B2089B7467401F1B696E4A117ABC7A4,The walls?!,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S14_FacelessTrap1.json
Name: DA_CM_13_MIF_S14_FacelessTrap1
Speaker: Nara
DialogueText"
5F652B1B49BF11A026F31EAE22EE95CA,This place wants us gone…,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S14_FacelessTrap1.json
Name: DA_CM_13_MIF_S14_FacelessTrap1
Speaker: Forsaken
DialogueText"
BBB50EDC483D5947F08BD1A083602060,Go!!!,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S14_FacelessTrap1.json
Name: DA_CM_13_MIF_S14_FacelessTrap1
Speaker: Nara
DialogueText"
3305211F471F22464E3FFE8D79846735,Forsa… I was here. Once…,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S14a_FacelessTrap2.json
Name: DA_CM_13_MIF_S14a_FacelessTrap2
Speaker: Nara
DialogueText"
BB815032432A3D626D74B294F698B0F3,I see…,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S14a_FacelessTrap2.json
Name: DA_CM_13_MIF_S14a_FacelessTrap2
Speaker: Forsaken
DialogueText"
4F1FB91A4BFBBD8E79D607A4D360630B,This memory… it must contain answers!,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S14a_FacelessTrap2.json
Name: DA_CM_13_MIF_S14a_FacelessTrap2
Speaker: Nara
DialogueText"
41EB92B844B48F55EC29C28604F4442E,"My Elders, the time is near…",,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S15_ElderDeclaration.json
Name: DA_CM_13_MIF_S15_ElderDeclaration
Speaker: Prophet-Mem
DialogueText"
14CE22CA4B9B303CCA649CA463F596E1,"Finally, I will become one with the Faceless, with you, with the universe…",,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S15_ElderDeclaration.json
Name: DA_CM_13_MIF_S15_ElderDeclaration
Speaker: Prophet-Mem
DialogueText"
B286BFA142685411F9B6F4B365B57B21,… seeing and feeling everything…,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S15_ElderDeclaration.json
Name: DA_CM_13_MIF_S15_ElderDeclaration
Speaker: Prophet-Mem
DialogueText"
63B152B847F3FD9A721E8E9E1BEE93EA,At eternal peace… in perfect harmony…,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S15_ElderDeclaration.json
Name: DA_CM_13_MIF_S15_ElderDeclaration
Speaker: Prophet-Mem
DialogueText"
5C10BF9448A7507DF74BF4B468AB3D22,In Chorus!,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S15_ElderDeclaration.json
Name: DA_CM_13_MIF_S15_ElderDeclaration
Speaker: Prophet-Mem
DialogueText"
D161526B4CBE34BF0B8EA191756D7FC9,"Join me at ""our Heart!""",,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S15_ElderDeclaration.json
Name: DA_CM_13_MIF_S15_ElderDeclaration
Speaker: Prophet-Mem
DialogueText"
952BC6234EE3BBA17954159B30A69A41,<IH1>The Heart… that's where the ritual happened.</>,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S15_ElderDeclaration.json
Name: DA_CM_13_MIF_S15_ElderDeclaration
Speaker: Nara-Int
DialogueText"
FA9D68734B0C41B5C3033B83A7DEEEA4,But we are not whole.,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S15_ElderDeclaration.json
Name: DA_CM_13_MIF_S15_ElderDeclaration
Speaker: Prophet-Mem
DialogueText"
B7AD4EA743D7FEDCDCD5AE994F7B2627,There is one still missing.,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S15_ElderDeclaration.json
Name: DA_CM_13_MIF_S15_ElderDeclaration
Speaker: Prophet-Mem
DialogueText"
80BB57BE47AFF00558245BB793E5320B,"Join us, Naran! As an Elder!",,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S15_ElderDeclaration.json
Name: DA_CM_13_MIF_S15_ElderDeclaration
Speaker: Prophet-Mem
DialogueText"
D22EAB53408CE4B059327D965F1EDC1E,Make our Circle complete!,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S15_ElderDeclaration.json
Name: DA_CM_13_MIF_S15_ElderDeclaration
Speaker: Prophet-Mem
DialogueText"
3B05ECDD448EE87E3E8B5CACCB76AD89,All this ancient wisdom… such pure power…,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S16_PlaceOfSolitude.json
Name: DA_CM_13_MIF_S16_PlaceOfSolitude
Speaker: Prophet-Mem
DialogueText"
EF3F7EB94E2CD08C7E592C9CFFA2E04D,It could destroy us all… can I… truly control it?,,"Mission/LocMIF01_DreamsOfThePast/Dialogues/DA_CM_13_MIF_S16_PlaceOfSolitude.json
Name: DA_CM_13_MIF_S16_PlaceOfSolitude
Speaker: Prophet-Mem
DialogueText"
